"Freq [GHz]","Phase [deg]","Distance [um]","(phase3*180/pi) []","phase4*180/pi []"
187.5,0,569.52,-118.850377798804,70.7714557705309
187.5,0,576.3,-118.84998768718,70.7596443855896
187.5,0,583.08,-118.952249715773,70.7477994324528
187.5,0,589.86,-118.958314621107,70.934147837056
187.5,0,596.64,-118.96438429746,70.9242631644295
187.5,0,603.42,-118.970458750299,70.9143806901643
187.5,0,610.2,-119.180620861307,70.904500414114
187.5,0,616.98,-119.149027076421,70.8946223361317
187.5,0,623.76,-119.117367952327,70.88474645607
187.5,0,630.54,-119.085643305603,70.8748727737813
187.5,0,637.32,-119.053852952227,70.865001289117
187.5,0,644.1,-119.021996707578,70.8551320019287
187.5,0,650.88,-118.990074386431,70.845264912067
187.5,0,657.66,-118.958085802957,70.8354000193824
187.5,0,664.44,-118.92603077072,70.8255373237247
187.5,0,671.22,-118.893909102674,70.8156768249436
187.5,0,678,-118.861720611166,70.8058185228878
190.75,0,0,-147.63228983367,42.0160731299333
190.75,0,6.78,-147.853263581881,42.0103651199593
190.75,0,13.56,-147.869216085944,42.0046776724852
190.75,0,20.34,-147.885143212878,41.9990106767402
190.75,0,27.12,-147.901045020715,41.9933640227466
190.75,0,33.9,-147.916921567321,41.9877376013133
190.75,0,40.68,-147.932772910392,41.9821313040282
190.75,0,47.46,-147.948599107457,41.9765450232519
190.75,0,54.24,-147.964400215878,41.9709786521105
190.75,0,61.02,-147.98017629285,41.9654320844885
190.75,0,67.8,-147.995927395404,41.9599052150228
190.75,0,74.58,-148.011653580405,41.9543979390957
190.75,0,81.36,-148.027354904551,41.9489101528279
190.75,0,88.14,-148.043031424378,41.9434417530728
190.75,0,94.92,-147.665971879104,41.9379926374095
190.75,0,101.7,-147.67407164021,41.9325627041367
190.75,0,108.48,-147.682150615807,41.9271518522662
190.75,0,115.26,-147.690208885436,41.9217599815168
190.75,0,122.04,-147.698246528234,41.9163869923081
190.75,0,128.82,-147.706263622936,41.9110327857544
190.75,0,135.6,-147.714260247882,42.4147969745287
190.75,0,142.38,-147.72223648101,41.5941667280091
190.75,0,149.16,-147.73019239987,42.3323535393735
190.75,0,155.94,-147.738128081618,42.3336467152467
190.75,0,162.72,-147.746043603021,42.3349411971413
190.75,0,169.5,-147.753939040461,42.3362369870501
190.75,0,176.28,-147.761814469936,42.3375340869699
190.75,0,183.06,-147.769669967062,42.3388324989016
190.75,0,189.84,-147.542147614069,42.34013222485
190.75,0,196.62,-147.543344100879,42.3414332668244
190.75,0,203.4,-147.544541870953,42.3427356268376
